DominantCycle,DominantCycleAmplitude
0.955476,14.9865
0.88914,15.2252
1.27415,9.9144
1.27415,7.69573
1.18569,8.13132
1.18569,8.04268
1.27415,7.97739
1.27415,9.02057
1.18569,11.1632
1.18569,12.2819
1.18569,11.9185
1.18569,11.5135
1.18569,11.3403
1.18569,11.4376
1.18569,12.0811
1.18569,12.7026
1.27415,13.0662
1.18569,13.4828
1.18569,14.1816
1.18569,14.8166
1.18569,15.0009
1.18569,15.1925
1.18569,15.8377
1.18569,16.3463
1.18569,16.6167
1.18569,16.5795
1.18569,16.0066
1.18569,15.4979
1.18569,15.2088
1.18569,14.7966
1.10337,14.6248
1.10337,15.1226
1.10337,15.2924
1.10337,15.6383
1.10337,16.5707
1.10337,17.4571
1.10337,17.1976
1.10337,16.0735
1.10337,15.0536
1.10337,14.9182
1.10337,15.2936
1.10337,14.8346
1.10337,14.1875
1.10337,14.582
1.10337,15.4148
1.10337,15.7175
1.10337,15.2939
1.10337,14.7156
1.10337,14.7369
1.10337,15.1436
1.02676,15.6114
1.02676,16.0893
1.02676,16.1042
1.02676,15.7817
1.02676,15.8833
1.02676,16.229
1.02676,16.2543
1.02676,15.8093
1.02676,15.818
1.02676,16.2788
1.02676,15.9542
1.02676,15.8845
1.02676,16.2838
1.02676,16.4913
1.02676,16.3279
1.02676,15.7386
1.02676,15.3766
1.02676,15.579
1.02676,15.9771
1.02676,16.3544
1.02676,16.7109
1.02676,17.0506
1.02676,17.042
1.02676,16.9376
1.02676,17.0647
1.02676,17.2488
1.02676,17.4691
1.02676,18.0397
1.02676,18.3652
1.02676,18.0556
1.02676,17.5174
1.02676,17.0763
1.02676,17.1673
1.02676,17.7465
1.02676,18.0639
1.02676,18.28
1.02676,18.1606
1.02676,17.0111
1.02676,16.2479
1.02676,16.759
1.02676,17.2473
1.02676,17.199
1.02676,17.0685
1.02676,17.1125
1.02676,17.8208
1.02676,18.5118
1.02676,18.2297
1.02676,17.8195
1.02676,17.8201
1.02676,17.9567
1.02676,18.2711
1.02676,18.5326
1.02676,18.1211
1.02676,17.456
1.02676,17.2863
1.02676,17.6417
1.02676,18.2891
1.02676,18.8714
1.02676,19.1721
1.02676,19.2524
1.02676,19.3102
1.02676,19.0905
1.02676,18.6584
1.02676,18.3641
1.02676,18.2996
1.02676,17.8613
1.02676,17.5323
1.02676,18.0743
1.02676,18.6855
1.02676,18.6502
1.02676,18.481
1.02676,18.5373
1.02676,18.5619
1.02676,18.665
1.02676,18.9497
1.02676,19.0841
1.02676,19.0939
1.02676,18.7723
1.02676,18.2804
1.02676,18.1618
1.02676,18.6648
1.02676,19.1961
1.02676,18.7434
1.02676,18.0517
1.02676,17.9912
1.02676,18.1763
1.02676,18.2519
1.02676,18.4706
1.10337,18.8366
1.02676,19.1711
1.02676,19.6197
1.02676,19.9803
1.02676,20.2143
1.02676,20.575
1.02676,20.8401
1.02676,20.8332
1.02676,20.543
1.02676,20.0328
0.955476,19.1192
0.88914,18.6869
0.88914,18.2365
0.827409,16.7872
0.955476,16.0878
1.02676,18.3669
1.02676,19.9633
0.955476,20.8443
0.955476,20.5349
0.955476,20.3655
0.955476,20.5504
0.955476,19.3834
0.955476,17.8008
0.955476,17.7419
0.955476,18.625
0.955476,19.0887
0.955476,18.7073
0.955476,17.9409
0.955476,17.7609
0.955476,18.2231
0.955476,18.4746
0.955476,18.109
0.955476,17.7102
0.955476,17.6769
0.955476,17.5723
0.955476,17.6079
0.955476,17.92
0.955476,18.0394
0.955476,18.513
0.955476,19.3904
1.02676,20.1481
1.02676,20.2248
1.02676,20.3752
1.02676,21.2404
1.02676,21.8191
1.02676,21.2028
1.02676,20.3611
1.02676,20.7252
1.02676,21.3625
1.02676,21.1362
1.02676,21.0134
1.02676,21.3047
1.02676,21.3917
1.02676,21.5118
1.02676,21.8285
1.02676,21.9153
1.02676,21.5849
1.02676,21.3496
1.02676,21.4179
1.02676,21.1946
1.02676,21.2045
1.02676,21.6498
1.02676,21.7721
1.02676,21.3634
1.02676,20.826
1.02676,20.6196
1.02676,20.9887
1.02676,21.5439
1.02676,21.7194
1.02676,21.3892
1.02676,21.3867
1.02676,21.6538
1.02676,21.3202
1.02676,20.8457
1.02676,20.9934
1.02676,21.2731
0.955476,21.683
0.955476,21.8052
0.955476,21.4967
0.955476,20.9642
0.955476,21.2686
0.955476,21.3059
0.88914,19.4575
0.955476,17.3622
0.955476,17.9216
1.02676,20.607
0.955476,22.3465
0.955476,21.9666
0.955476,20.9902
0.955476,20.5058
1.02676,20.9895
1.02676,21.3996
0.955476,21.6016
0.955476,21.6666
0.955476,21.2928
0.955476,20.7938
0.955476,20.4482
0.955476,19.8572
0.955476,19.1285
0.955476,19.0435
0.955476,19.307
0.955476,19.3322
0.955476,19.8121
0.955476,20.4253
0.955476,20.6845
0.955476,20.7261
0.955476,20.7915
0.955476,20.9633
0.955476,21.0804
0.955476,20.9823
0.955476,20.8262
0.955476,20.9191
0.955476,21.5647
0.955476,22.1794
0.955476,22.3754
0.955476,22.9038
0.955476,23.2176
0.955476,22.3423
0.955476,21.5146
0.955476,21.0975
0.955476,20.8374
0.955476,21.0635
0.955476,21.2082
0.955476,21.369
0.955476,21.7578
0.955476,21.8891
0.955476,22.1031
0.955476,22.0128
0.955476,21.4694
0.955476,20.7134
0.955476,20.8865
0.955476,22.1905
0.955476,22.8477
0.955476,21.87
0.955476,21.299
0.955476,21.7164
0.955476,21.461
0.955476,21.426
0.955476,22.3748
0.955476,22.0885
0.955476,20.6392
0.955476,20.2983
0.955476,20.931
0.955476,20.9108
0.955476,19.9873
0.955476,18.8073
0.955476,18.2678
0.955476,19.2196
0.955476,20.3573
0.955476,20.0101
0.955476,19.4454
0.955476,19.7504
0.955476,20.0699
0.955476,19.2838
0.955476,18.3258
0.955476,18.5517
0.955476,19.6094
0.955476,20.9518
0.955476,21.5649
0.955476,21.1787
0.955476,20.5857
0.955476,20.3191
0.955476,20.5665
0.955476,21.3289
0.955476,22.0574
0.955476,22.0924
0.955476,21.8157
0.955476,21.6732
0.955476,21.5462
0.955476,21.8106
0.955476,22.2291
0.955476,21.9895
0.955476,21.5611
0.955476,21.6266
0.955476,21.7622
0.955476,21.157
0.955476,20.4835
0.955476,20.5805
0.955476,21.1848
0.955476,21.7336
0.955476,21.7092
0.955476,21.6608
0.955476,22.8463
0.955476,22.8991
0.955476,19.8393
0.955476,18.4485
0.955476,19.9247
0.955476,21.4533
0.955476,21.5745
0.955476,20.9637
0.955476,20.744
0.955476,21.2168
0.955476,21.4112
0.955476,21.083
0.955476,20.4124
0.955476,19.6028
0.955476,19.9522
0.955476,20.5649
0.955476,20.5368
0.955476,20.4154
0.955476,20.7319
0.955476,21.2788
0.955476,21.7154
0.955476,22.2656
0.955476,22.1895
0.955476,21.26
0.955476,20.5912
0.955476,20.8413
0.955476,21.5769
0.955476,22.423
0.955476,22.6384
0.955476,22.973
0.955476,23.2427
0.955476,22.3918
0.955476,21.5198
0.955476,21.1801
0.955476,20.3715
0.955476,19.2192
0.955476,18.6246
0.955476,18.7411
0.955476,19.4342
0.955476,19.7939
0.955476,20.3535
0.955476,21.1247
0.955476,21.0717
0.955476,20.3061
0.955476,20.0493
0.955476,20.268
0.955476,20.464
0.955476,20.2369
0.955476,20.067
0.955476,20.1725
0.955476,20.395
0.955476,20.9242
0.955476,21.5708
0.955476,21.8846
0.955476,21.7978
0.955476,21.5999
0.955476,20.8826
0.955476,20.3798
0.955476,20.6878
0.955476,20.9772
0.955476,21.1232
0.955476,20.7796
0.955476,20.1466
0.955476,20.3113
0.88914,20.8203
0.955476,20.3921
0.955476,19.7951
0.955476,19.9084
0.955476,20.5162
0.955476,21.0427
0.955476,21.1139
0.955476,21.2312
0.955476,21.5858
0.955476,21.4576
0.955476,21.1782
0.955476,21.9884
0.955476,23.1428
0.955476,23.1914
0.955476,22.4589
0.955476,21.9066
0.955476,21.8029
0.955476,22.2445
0.955476,22.6017
0.955476,22.9266
0.955476,23.0806
0.955476,22.5467
0.955476,22.4074
0.955476,22.6073
0.955476,21.9249
1.02676,20.9983
1.02676,20.8194
1.02676,20.689
1.02676,20.7057
1.02676,21.2232
1.02676,21.6163
1.02676,21.6695
1.02676,21.2955
1.02676,20.8441
0.955476,21.066
0.955476,21.8988
0.955476,22.2433
0.955476,21.9848
0.955476,21.6433
0.955476,21.6497
0.955476,21.6731
0.955476,20.7304
0.955476,20.5226
0.955476,21.1158
0.955476,21.4317
0.955476,21.6617
0.955476,21.5828
0.88914,19.9754
0.88914,18.3643
0.955476,19.465
0.955476,20.7099
0.955476,20.3694
1.02676,19.7735
0.955476,20.0929
0.955476,20.5933
0.955476,20.2566
0.88914,20.7686
0.88914,20.7187
0.88914,19.9774
0.88914,19.7136
0.88914,19.6253
0.88914,19.6775
0.88914,19.3533
0.88914,18.9288
0.88914,18.9256
0.955476,18.9052
0.955476,18.2459
0.88914,18.4575
0.88914,18.8454
0.88914,18.1084
0.88914,17.1861
0.88914,17.1428
0.88914,17.6555
0.88914,18.0972
0.88914,18.0467
0.88914,18.0448
0.88914,18.4778
0.88914,19.0513
0.88914,19.9058
0.88914,20.4623
0.88914,20.004
0.88914,19.4556
0.88914,19.5731
0.88914,19.7803
0.88914,19.538
0.955476,19.5464
0.955476,19.8676
0.955476,20.5765
0.955476,21.4159
0.955476,21.7522
0.955476,21.6901
0.955476,21.8731
0.955476,21.7452
0.955476,21.5424
0.955476,21.9242
0.955476,22.5189
0.955476,22.8417
